what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554563920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384554580712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554580748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554580932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384554581022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554581149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554581333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384554581910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554581947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554582128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384554582622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554582658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554582837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384554583330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554583366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554583541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384554583899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554583940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554584123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384554584608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554584646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384554584813
